id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"table-basse-de-sejour-en-bois-mdf-et-verre-trempe","Table BAMBOU","Table BAMBOU","in stock","new","880 MAD","https://novastyle.ma/produits/table-basse-de-sejour-en-bois-mdf-et-verre-trempe/","https://novastyle.ma/images/table-basse-de-sejour-en-bois-mdf-et-verre-trempe/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroire-nova-style-miroir-horizon","Miroire de nova Style : Miroir Horizon","Miroire de nova Style : Miroir Horizon","in stock","new","460 MAD","https://novastyle.ma/produits/miroire-nova-style-miroir-horizon/","https://novastyle.ma/images/miroire-nova-style-miroir-horizon/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"douche-italienne-en-l-verre-trempe","devis douche italienne en verre trempé TYPE L: Personnalisez votre douche à l'italienne en forme L","devis douche italienne en verre trempé TYPE L: Personnalisez votre douche à l'italienne en forme L","in stock","new","350 MAD","https://novastyle.ma/produits/douche-italienne-en-l-verre-trempe/","https://novastyle.ma/images/douche-italienne-en-l-verre-trempe/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"table-de-sejour-en-bois-mdf-et-verre-trempe","Table de Séjour en Bois MDF et Verre Trempé","Table de Séjour en Bois MDF et Verre Trempé","in stock","new","980 MAD","https://novastyle.ma/produits/table-de-sejour-en-bois-mdf-et-verre-trempe/","https://novastyle.ma/images/table-de-sejour-en-bois-mdf-et-verre-trempe/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-rotin-irregulier-bois-nova-style","Miroir Rotin Irrégulier & Bois - Nova Style","Miroir Rotin Irrégulier & Bois - Nova Style","in stock","new","708 MAD","https://novastyle.ma/produits/nova-style-miroir-rotin-irregulier-bois-nova-style/","https://novastyle.ma/assets/images/nova-style-miroir-rotin-irregulier-bois-nova-style/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-gale-salle-de-bain-led-antibuee-anticorrosion","Miroir de salle de bain au Maroc - Galet Antibuée & Anticorrosion","Miroir de salle de bain au Maroc - Galet Antibuée & Anticorrosion","in stock","new","800 MAD","https://novastyle.ma/produits/miroir-gale-salle-de-bain-led-antibuee-anticorrosion/","https://novastyle.ma/images/miroir-gale-salle-de-bain-led-antibuee-anticorrosion/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-avec-cadre-nova-style-miroir-rectangulaire-cm","Miroir avec cadre nova Style : Miroir Rectangulaire CM","Miroir avec cadre nova Style : Miroir Rectangulaire CM","in stock","new","1580 MAD","https://novastyle.ma/produits/miroir-avec-cadre-nova-style-miroir-rectangulaire-cm/","https://novastyle.ma/images/miroir-avec-cadre-nova-style-miroir-rectangulaire-cm/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-rectangulaire-1","Nova Style : Miroir RECTANGULAIRE","Nova Style : Miroir RECTANGULAIRE","in stock","new","450 MAD","https://novastyle.ma/produits/nova-style-miroir-rectangulaire-1/","https://novastyle.ma/images/nova-style-miroir-rectangulaire-1/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-lightning","Nova Style : Miroir Lightning","Nova Style : Miroir Lightning","in stock","new","550 MAD","https://novastyle.ma/produits/nova-style-miroir-lightning/","https://novastyle.ma/images/nova-style-miroir-lightning/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-eclipse-essentiel","Miroir pas cher avec led ECLIPSE essentiel","Miroir pas cher avec led ECLIPSE essentiel","in stock","new","350 MAD","https://novastyle.ma/produits/miroir-eclipse-essentiel/","https://novastyle.ma/images/miroir-eclipse-essentiel/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
